Source,Target,Type,Id,Label,timeset,Weight,film,year
_Agustín_Almodóvar_,_Alba_García_,Undirected,0,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Alba_Gómez_,Undirected,1,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Aline_Casagrande_,Undirected,2,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Antonio_Banderas_,Undirected,3,Laberinto de pasiones,,8,Laberinto de pasiones,1982
_Agustín_Almodóvar_,_Asier_Etxeandia_,Undirected,4,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Asier_Flores_,Undirected,5,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Cecilia_Roth_,Undirected,6,"Pepi, Luci, Bom y otras chicas del montón",,8,"Pepi, Luci, Bom y otras chicas del montón",1980
_Agustín_Almodóvar_,_César_Vicente_,Undirected,7,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Chimezie_Eke_,Undirected,8,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Constancia_Céspedes_,Undirected,9,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Eneko_Galende_,Undirected,10,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Esperanza_Guardado_,Undirected,11,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Esther_García_,Undirected,12,Todo sobre mi madre,,7,Todo sobre mi madre,1999
_Agustín_Almodóvar_,_Eva_Martín_,Undirected,13,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Fernando_Iglesias_,Undirected,14,Hable con ella,,5,Hable con ella,2002
_Agustín_Almodóvar_,_Julián_López_,Undirected,15,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Julieta_Serrano_,Undirected,16,"Pepi, Luci, Bom y otras chicas del montón",,6,"Pepi, Luci, Bom y otras chicas del montón",1980
_Agustín_Almodóvar_,_Leonardo_Sbaraglia_,Undirected,17,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Luis_Calero_,Undirected,18,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Marilyn_Monroe_,Undirected,19,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Marisol_Muriel_,Undirected,20,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Miguel_Rivera_,Undirected,21,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Mina_,Undirected,22,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Nadal_Bin_,Undirected,23,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Natalie_Wood_,Undirected,24,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Neus_Alborch_,Undirected,25,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Nora_Navas_,Undirected,26,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Paqui_Horcajo_,Undirected,27,Julieta,,2,Julieta,2016
_Agustín_Almodóvar_,_Pedro_Casablanc_,Undirected,28,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Penélope_Cruz_,Undirected,29,Todo sobre mi madre,,5,Todo sobre mi madre,1999
_Agustín_Almodóvar_,_Raúl_Arévalo_,Undirected,30,Los amantes pasajeros,,2,Los amantes pasajeros,2013
_Agustín_Almodóvar_,_Rosalía_,Undirected,31,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Sara_Sierra_,Undirected,32,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Susi_Sánchez_,Undirected,33,La piel que habito,,4,La piel que habito,2011
_Agustín_Almodóvar_,_Topacio_Fresh_,Undirected,34,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Virgil-Henry_Mathet_,Undirected,35,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Warren_Beatty_,Undirected,36,Dolor y gloria,,1,Dolor y gloria,2019
_Agustín_Almodóvar_,_Xavi_Sáez_,Undirected,37,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Alba_Gómez_,Undirected,38,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Aline_Casagrande_,Undirected,39,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Antonio_Banderas_,Undirected,40,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Asier_Etxeandia_,Undirected,41,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Asier_Flores_,Undirected,42,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Cecilia_Roth_,Undirected,43,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_César_Vicente_,Undirected,44,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Chimezie_Eke_,Undirected,45,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Constancia_Céspedes_,Undirected,46,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Eneko_Galende_,Undirected,47,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Esperanza_Guardado_,Undirected,48,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Esther_García_,Undirected,49,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Eva_Martín_,Undirected,50,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Fernando_Iglesias_,Undirected,51,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Julián_López_,Undirected,52,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Julieta_Serrano_,Undirected,53,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Leonardo_Sbaraglia_,Undirected,54,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Luis_Calero_,Undirected,55,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Marilyn_Monroe_,Undirected,56,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Marisol_Muriel_,Undirected,57,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Miguel_Rivera_,Undirected,58,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Mina_,Undirected,59,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Nadal_Bin_,Undirected,60,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Natalie_Wood_,Undirected,61,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Neus_Alborch_,Undirected,62,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Nora_Navas_,Undirected,63,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Paqui_Horcajo_,Undirected,64,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Pedro_Casablanc_,Undirected,65,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Penélope_Cruz_,Undirected,66,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Raúl_Arévalo_,Undirected,67,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Rosalía_,Undirected,68,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Sara_Sierra_,Undirected,69,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Susi_Sánchez_,Undirected,70,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Topacio_Fresh_,Undirected,71,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Virgil-Henry_Mathet_,Undirected,72,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Warren_Beatty_,Undirected,73,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_García_,_Xavi_Sáez_,Undirected,74,Dolor y gloria,,1,Dolor y gloria,2019
_Alba_Gómez_,_Aline_Casagrande_,Undirected,75,Dolor y gloria,,1,Dolor y gloria,2019
